filename,estado_terreno,num_tornillos,caso_especial,descripcion
captura_1.jpg,INCOMPLETO,0,,
captura_2.jpg,INCOMPLETO,0,,
captura_3.jpg,INCOMPLETO,0,,
captura_13.jpg,INCOMPLETO,1,,
captura_15.jpg,INCOMPLETO,0,,
captura_18.jpg,INCOMPLETO,1,,
captura_19.jpg,INCOMPLETO,1,,
captura_22.jpg,INCOMPLETO,1,,
captura_23.jpg,INCOMPLETO,1,,
captura_24.jpg,INCOMPLETO,1,,
captura_26.jpg,INCOMPLETO,1,,
captura_27.jpg,INCOMPLETO,1,,
captura_28.jpg,INCOMPLETO,1,,
captura_29.jpg,INCOMPLETO,1,,
captura_30.jpg,INCOMPLETO,1,,
captura_31.jpg,INCOMPLETO,2,,
captura_34.jpg,INCOMPLETO,2,,
captura_35.jpg,INCOMPLETO,2,,
captura_36.jpg,INCOMPLETO,2,,
captura_37.jpg,INCOMPLETO,3,,
captura_38.jpg,INCOMPLETO,3,,
captura_39.jpg,INCOMPLETO,3,,
captura_40.jpg,INCOMPLETO,3,,
captura_41.jpg,INCOMPLETO,3,,
captura_42.jpg,COMPLETO,4,,
captura_43.jpg,COMPLETO,4,,
captura_44.jpg,COMPLETO,4,,
captura_45.jpg,INCOMPLETO,3,,
captura_46.jpg,INCOMPLETO,3,,
captura_47.jpg,INCOMPLETO,3,,
captura_48.jpg,INCOMPLETO,3,,
captura_49.jpg,INCOMPLETO,3,,
captura_50.jpg,INCOMPLETO,3,,
captura_53.jpg,INCOMPLETO,3,,
captura_54.jpg,INCOMPLETO,3,,
captura_55.jpg,COMPLETO,4,,
captura_56.jpg,COMPLETO,4,,
captura_57.jpg,COMPLETO,4,,
captura_58.jpg,COMPLETO,4,,
captura_59.jpg,COMPLETO,4,,
